"","atlas","id","name","abbr","neocortex","temporal_cortex","motor_cortex","frontal_cortex","claustrum","globus_pallidus","cingulate_cortex","auditory_cortex","insula","medial_prefrontal_cortex","striatum","orbitofrontal_cortex","agranular_insular_cortex","substantia_nigra","parietal_cortex","visual_cortex","piriform_cortex","prefrontal_cortex","rhinal_cortex","hippocampus","hypothalamus","somatosensory_cortex","retrosplenial_cortex","white_matter","side","name_bilateral","abbr_bilateral"
"731","paxinos",18,"oculomotor nerve","3n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_oculomotor nerve","ri_3n"
"137","paxinos",19,"4th and 5th cerebellar lobules","4/5Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_4th and 5th cerebellar lobules","ri_4/5Cb"
"138","paxinos",21,"4th cerebellar lobule","4Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_4th cerebellar lobule","ri_4Cb"
"1029","paxinos",22,"trochlear nucleus","4N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trochlear nucleus","ri_4N"
"1030","paxinos",23,"trochlear nucleus shell region",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trochlear nucleus shell region","ri_NA"
"139","paxinos",24,"4th ventricle","4V","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_4th ventricle","ri_4V"
"1028","paxinos",25,"trochlear nerve","4n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trochlear nerve","ri_4n"
"689","paxinos",26,"motor trigeminal nucleus, anterior digastric part","5ADi","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus, anterior digastric part","ri_5ADi"
"140","paxinos",27,"5th cerebellar lobule","5Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_5th cerebellar lobule","ri_5Cb"
"1024","paxinos",28,"trigeminal ganglion (Gasseri)",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trigeminal ganglion (Gasseri)","ri_NA"
"691","paxinos",29,"motor trigeminal nucleus, mylohyoid part","5MHy","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus, mylohyoid part","ri_5MHy"
"690","paxinos",30,"motor trigeminal nucleus, masseter part","5Ma","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus, masseter part","ri_5Ma"
"688","paxinos",31,"motor trigeminal nucleus","5N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus","ri_5N"
"1025","paxinos",33,"trigeminal-solitary transition zone","5Sol","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trigeminal-solitary transition zone","ri_5Sol"
"693","paxinos",34,"motor trigeminal nucleus, tensor tympani part","5TT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus, tensor tympani part","ri_5TT"
"692","paxinos",35,"motor trigeminal nucleus, temporalis part","5Te","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_motor trigeminal nucleus, temporalis part","ri_5Te"
"1026","paxinos",36,"trigeminal transition zone","5Tr","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_trigeminal transition zone","ri_5Tr"
"144","paxinos",37,"6th cerebellar lobule","6Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_6th cerebellar lobule","ri_6Cb"
"159","paxinos",38,"abducens nucleus","6N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_abducens nucleus","ri_6N"
"160","paxinos",39,"abducens nucleus, retractor bulbi part","6RB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_abducens nucleus, retractor bulbi part","ri_6RB"
"597","paxinos",40,"layer 6a of cortex","6a","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_layer 6a of cortex","ri_6a"
"141","paxinos",41,"6a cerebellar lobule","6aCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_6a cerebellar lobule","ri_6aCb"
"598","paxinos",42,"layer 6b of cortex","6b","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_layer 6b of cortex","ri_6b"
"142","paxinos",43,"6b cerebellar lobule","6bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_6b cerebellar lobule","ri_6bCb"
"143","paxinos",44,"6c cerebellar lobule","6cCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_6c cerebellar lobule","ri_6cCb"
"910","paxinos",45,"root of abducens nerve","6n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_root of abducens nerve","ri_6n"
"145","paxinos",46,"7th cerebellar lobule","7Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_7th cerebellar lobule","ri_7Cb"
"416","paxinos",47,"facial nucleus, dorsal intermediate subnucleus","7DI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, dorsal intermediate subnucleus","ri_7DI"
"417","paxinos",48,"facial nucleus, dorsolateral subnucleus","7DL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, dorsolateral subnucleus","ri_7DL"
"418","paxinos",49,"facial nucleus, dorsomedial subnucleus","7DM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, dorsomedial subnucleus","ri_7DM"
"419","paxinos",50,"facial nucleus, lateral subnucleus","7L","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, lateral subnucleus","ri_7L"
"415","paxinos",51,"facial nucleus","7N","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus","ri_7N"
"413","paxinos",52,"facial motor nucleus, stylohyoid part",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial motor nucleus, stylohyoid part","ri_NA"
"420","paxinos",53,"facial nucleus, ventral intermediate subnucleus","7VI","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, ventral intermediate subnucleus","ri_7VI"
"421","paxinos",54,"facial nucleus, ventromedial subnucleus","7VM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nucleus, ventromedial subnucleus","ri_7VM"
"414","paxinos",55,"facial nerve","7n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_facial nerve","ri_7n"
"696","paxinos",56,"nervus intermedius component of the facial nerve","7ni","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_nervus intermedius component of the facial nerve","ri_7ni"
"146","paxinos",57,"8th cerebellar lobule","8Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_8th cerebellar lobule","ri_8Cb"
"1085","paxinos",58,"vestibulocochlear ganglion",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_vestibulocochlear ganglion","ri_NA"
"309","paxinos",59,"cochlear root of the vestibulocochlear nerve","8cn","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_cochlear root of the vestibulocochlear nerve","ri_8cn"
"1086","paxinos",60,"vestibulocochlear nerve","8n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_vestibulocochlear nerve","ri_8n"
"1083","paxinos",61,"vestibular root of the vestibulocochlear nerve","8vn","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_vestibular root of the vestibulocochlear nerve","ri_8vn"
"147","paxinos",62,"9th cerebellar lobule","9Cb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_9th cerebellar lobule","ri_9Cb"
"148","paxinos",63,"9th cerebellar lobule, a and b","9a,bCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_9th cerebellar lobule, a and b","ri_9a,bCb"
"149","paxinos",64,"9th cerebellar lobule, c","9cCb","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_9th cerebellar lobule, c","ri_9cCb"
"446","paxinos",65,"glossopharyngeal nerve","9n","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_glossopharyngeal nerve","ri_9n"
"153","paxinos",67,"A1 noradrenaline cells","A1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A1 noradrenaline cells","ri_A1"
"154","paxinos",68,"A1 noradrenaline cells/C1 adrenaline cells","A1/C1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A1 noradrenaline cells/C1 adrenaline cells","ri_A1/C1"
"150","paxinos",69,"A11dopamine cells","A11","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A11dopamine cells","ri_A11"
"151","paxinos",70,"A13 dopamine cells","A13","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A13 dopamine cells","ri_A13"
"152","paxinos",71,"A14 dopamine cells",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A14 dopamine cells","ri_NA"
"155","paxinos",72,"A2 noradrenaline cells","A2","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A2 noradrenaline cells","ri_A2"
"156","paxinos",73,"A5 noradrenaline cells","A5","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A5 noradrenaline cells","ri_A5"
"157","paxinos",74,"A7 noradrenaline cells","A7","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A7 noradrenaline cells","ri_A7"
"158","paxinos",75,"A8 dopamine cells",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_A8 dopamine cells","ri_NA"
"188","paxinos",76,"anterior amygdaloid area","AA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior amygdaloid area","ri_AA"
"194","paxinos",79,"anterior cortical amygdaloid nucleus","ACo","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior cortical amygdaloid nucleus","ri_ACo"
"212","paxinos",80,"anterodorsal thalamic nucleus","AD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterodorsal thalamic nucleus","ri_AD"
"195","paxinos",82,"anterior hypothalamic area",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior hypothalamic area","ri_NA"
"196","paxinos",83,"anterior hypothalamic area, anterior part","AHA","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_anterior hypothalamic area, anterior part","ri_AHA"
"197","paxinos",84,"anterior hypothalamic area, central part","AHC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_anterior hypothalamic area, central part","ri_AHC"
"198","paxinos",85,"anterior hypothalamic area, posterior part","AHP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_anterior hypothalamic area, posterior part","ri_AHP"
"180","paxinos",86,"amygdalohippocampal area","AHi","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_amygdalohippocampal area","ri_AHi"
"181","paxinos",87,"amygdalohippocampal area, anterolateral part","AHiAL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_amygdalohippocampal area, anterolateral part","ri_AHiAL"
"182","paxinos",89,"amygdalohippocampal area, posterolateral","AHiPL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_amygdalohippocampal area, posterolateral","ri_AHiPL"
"171","paxinos",90,"agranular insular cortex, dorsal part","AID","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","right","ri_agranular insular cortex, dorsal part","ri_AID"
"172","paxinos",91,"agranular insular cortex, posterior part","AIP","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","right","ri_agranular insular cortex, posterior part","ri_AIP"
"173","paxinos",92,"agranular insular cortex, ventral part","AIV","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","right","ri_agranular insular cortex, ventral part","ri_AIV"
"703","paxinos",93,"nucleus of the ansa lenticularis","AL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_nucleus of the ansa lenticularis","ri_AL"
"213","paxinos",94,"anteromedial thalamic nucleus","AM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anteromedial thalamic nucleus","ri_AM"
"214","paxinos",95,"anteromedial thalamic nucleus, ventral part","AMV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anteromedial thalamic nucleus, ventral part","ri_AMV"
"163","paxinos",96,"accessory neurosecretory nuclei","ANS","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accessory neurosecretory nuclei","ri_ANS"
"199","paxinos",97,"anterior olfactory nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus","ri_NA"
"164","paxinos",98,"accessory olfactory bulb","AOB","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accessory olfactory bulb","ri_AOB"
"200","paxinos",99,"anterior olfactory nucleus, dorsal part","AOD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, dorsal part","ri_AOD"
"201","paxinos",100,"anterior olfactory nucleus, external part","AOE","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, external part","ri_AOE"
"202","paxinos",101,"anterior olfactory nucleus, lateral part","AOL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, lateral part","ri_AOL"
"203","paxinos",102,"anterior olfactory nucleus, medial part","AOM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, medial part","ri_AOM"
"204","paxinos",103,"anterior olfactory nucleus, posterior part","AOP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, posterior part","ri_AOP"
"205","paxinos",104,"anterior olfactory nucleus, ventral part","AOV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, ventral part","ri_AOV"
"206","paxinos",105,"anterior olfactory nucleus, ventroposterior part","AOVP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior olfactory nucleus, ventroposterior part","ri_AOVP"
"226","paxinos",106,"area postrema","AP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_area postrema","ri_AP"
"207","paxinos",107,"anterior pretectal nucleus","APT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior pretectal nucleus","ri_APT"
"208","paxinos",108,"anterior pretectal nucleus, dorsal part","APTD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior pretectal nucleus, dorsal part","ri_APTD"
"209","paxinos",109,"anterior pretectal nucleus, ventral part","APTV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior pretectal nucleus, ventral part","ri_APTV"
"184","paxinos",110,"amygdalopiriform transition area","APir","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_amygdalopiriform transition area","ri_APir"
"185","paxinos",111,"amygdalostriatal transition area","ASt","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_amygdalostriatal transition area","ri_ASt"
"211","paxinos",112,"anterior tegmental nucleus","ATg","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterior tegmental nucleus","ri_ATg"
"230","paxinos",113,"ATh",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_ATh","ri_NA"
"216","paxinos",114,"anteroventral thalamic nucleus","AV","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anteroventral thalamic nucleus","ri_AV"
"218","paxinos",115,"anterovent thalamic nucleus, dorsomedial part","AVDM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anterovent thalamic nucleus, dorsomedial part","ri_AVDM"
"215","paxinos",117,"anteroventral periventricular nucleus","AVPe","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anteroventral periventricular nucleus","ri_AVPe"
"217","paxinos",118,"anteroventral thalamic nucleus, ventrolateral part","AVVL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_anteroventral thalamic nucleus, ventrolateral part","ri_AVVL"
"166","paxinos",119,"accumbens nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accumbens nucleus","ri_NA"
"167","paxinos",120,"accumbens nucleus, core","AcbC","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accumbens nucleus, core","ri_AcbC"
"169","paxinos",121,"accumbens nucleus, rostral pole",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accumbens nucleus, rostral pole","ri_NA"
"170","paxinos",122,"accumbens nucleus, shell","AcbSh","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accumbens nucleus, shell","ri_AcbSh"
"168","paxinos",123,"accumbens nucleus neuroepithelium",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accumbens nucleus neuroepithelium","ri_NA"
"161","paxinos",125,"accessory abducens/facial nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_accessory abducens/facial nucleus","ri_NA"
"174","paxinos",128,"alar nucleus","Al","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_alar nucleus","ri_Al"
"176","paxinos",129,"ambiguus nucleus",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_ambiguus nucleus","ri_NA"
"177","paxinos",130,"ambiguus nucleus, compact part","AmbC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_ambiguus nucleus, compact part","ri_AmbC"
"178","paxinos",131,"ambiguus nucleus, loose part","AmbL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_ambiguus nucleus, loose part","ri_AmbL"
"179","paxinos",132,"ambiguus nucleus, subcompact part","AmbSC","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_ambiguus nucleus, subcompact part","ri_AmbSC"
"186","paxinos",134,"angular thalamic nucleus","AngT","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_angular thalamic nucleus","ri_AngT"
"219","paxinos",137,"aqueduct","Aq","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_aqueduct","ri_Aq"
"220","paxinos",138,"arcuate hypothalamic nucleus","Arc","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus","ri_Arc"
"221","paxinos",139,"arcuate hypothalamic nucleus, dorsal part","ArcD","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus, dorsal part","ri_ArcD"
"222","paxinos",140,"arcuate hypothalamic nucleus, lateral part","ArcL","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus, lateral part","ri_ArcL"
"223","paxinos",141,"arcuate hypothalamic nucleus, lateroposterior part","ArcLP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus, lateroposterior part","ri_ArcLP"
"224","paxinos",142,"arcuate hypothalamic nucleus, medial part","ArcM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus, medial part","ri_ArcM"
"225","paxinos",143,"arcuate hypothalamic nucleus, medial posterior part","ArcMP","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","right","ri_arcuate hypothalamic nucleus, medial posterior part","ri_ArcMP"
"231","paxinos",145,"auditory cortex",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","right","ri_auditory cortex","ri_NA"
